PROPNAME, de hamburgertent/[0,3]|name|hd/mod|die/[3,4]|pron|1
ben/[5,6]|verb|hd/su|die/[3,4]|pron|1
ben/[5,6]|verb|hd/vc|ontsta/[4,5]|verb|1
burger/[12,13]|noun|hd/det|dezelfde/[11,12]|det|1
burger/[12,13]|noun|hd/mod|identiek/[10,11]|adj|1
die/[3,4]|pron|rhd/body|ben/[5,6]|verb|1
en/[9,10]|vg|crd/cnj|Mc Donalds/[7,9]|name|1
en/[9,10]|vg|crd/cnj|burger/[12,13]|noun|1
na/[6,7]|prep|hd/obj1|en/[9,10]|vg|1
ontsta/[4,5]|verb|hd/mod|na/[6,7]|prep|1
ontsta/[4,5]|verb|hd/su|die/[3,4]|pron|1
top/top|top|top/hd|verkoop/[13,14]|verb|1
verkoop/[13,14]|verb|-- / --|./[14,15]|punct|1
verkoop/[13,14]|verb|hd/su|PROPNAME, de hamburgertent/[0,3]|name|1
angst/[27,28]|noun|hd/vc|dat/[28,29]|comp|1
ben/[33,34]|verb|hd/predc|laag/[31,32]|adj|1
ben/[33,34]|verb|hd/su|het/[29,30]|det|1
ben/[34,35]|verb|hd/mod|niet/[35,36]|adv|1
ben/[34,35]|verb|hd/predc|smaak/[38,39]|noun|1
ben/[34,35]|verb|hd/su|smaak/[11,12]|noun|1
burger/[22,23]|noun|hd/det|de/[21,22]|det|1
dat/[28,29]|comp|cmp/body|zal/[32,33]|verb|1
ga/[5,6]|verb|hd/pc|voor/[6,7]|prep|1
ga/[5,6]|verb|hd/su|je/[4,5]|pron|1
ga/[42,43]|verb|hd/pc|voor/[41,42]|prep|1
ga/[42,43]|verb|hd/su|ik/[40,41]|pron|1
hamburger/[14,15]|noun|hd/det|een/[13,14]|det|1
hamburger/[14,15]|noun|hd/mod|waarvan/[15,16]|pp|1
in/[20,21]|prep|hd/obj1|burger/[22,23]|noun|1
laag/[31,32]|adj|hd/mod|zo/[30,31]|adv|1
luid/[2,3]|verb|-- / --|./[43,44]|punct|1
luid/[2,3]|verb|dp/dp|maar/[9,10]|vg|1
luid/[2,3]|verb|hd/obj1|PROPNAME,/[3,4]|name|1
luid/[2,3]|verb|hd/su|slogan/[1,2]|noun|1
maar/[9,10]|vg|crd/cnj|ben/[34,35]|verb|1
maar/[9,10]|vg|crd/cnj|ga/[5,6]|verb|1
