als/[6,7]|comparative|cmp/body|dat/[7,8]|comp|1
ben/[1,2]|verb|-- / --|./[11,12]|punct|1
ben/[1,2]|verb|hd/mod|niet/[3,4]|adv|1
ben/[1,2]|verb|hd/predc|geweldig/[5,6]|adj|1
ben/[1,2]|verb|hd/su|PROPNAME/[0,1]|name|1
beweer/[10,11]|verb|hd/su|mens/[9,10]|noun|1
dat/[7,8]|comp|cmp/body|beweer/[10,11]|verb|1
geweldig/[5,6]|adj|hd/mod|zo/[4,5]|adv|1
mens/[9,10]|noun|hd/det|veel/[8,9]|adj|1
niet/[3,4]|adv|hd/mod|helemaal/[2,3]|adv|1
top/top|top|top/hd|ben/[1,2]|verb|1
zo/[4,5]|adv|hd/obcomp|als/[6,7]|comparative|1
die/[8,9]|pron|rhd/body|functioneer/[10,11]|verb|1
functioneer/[10,11]|verb|hd/mod|perfect/[9,10]|adj|1
functioneer/[10,11]|verb|hd/su|die/[8,9]|pron|1
gebruik/[3,4]|verb|-- / --|./[11,12]|punct|1
gebruik/[3,4]|verb|dp/dp|die/[8,9]|pron|1
gebruik/[3,4]|verb|dp/dp|s4/[7,8]|noun|1
gebruik/[3,4]|verb|hd/obj1|propname/[6,7]|noun|1
gebruik/[3,4]|verb|hd/pc|voor/[0,1]|prep|1
gebruik/[3,4]|verb|hd/su|ik/[4,5]|pron|1
propname/[2,3]|noun|hd/det|de/[1,2]|det|1
propname/[6,7]|noun|hd/det|een/[5,6]|det|1
top/top|top|top/hd|gebruik/[3,4]|verb|1
voor/[0,1]|prep|hd/obj1|propname/[2,3]|noun|1
PROPNAME/[1,2]|name|hd/det|de/[0,1]|det|1
ben/[12,13]|verb|hd/predc|gebruik_vriendelijk/[14,15]|adj|1
ben/[12,13]|verb|hd/su|PROPNAME/[1,2]|name|1
en/[11,12]|vg|-- / --|./[15,16]|punct|1
en/[11,12]|vg|crd/cnj|ben/[12,13]|verb|1
en/[11,12]|vg|crd/cnj|geef/[2,3]|verb|1
gebruik_vriendelijk/[14,15]|adj|hd/mod|zeer/[13,14]|adv|1
geef/[2,3]|verb|hd/obj2|me/[3,4]|pron|1
geef/[2,3]|verb|hd/pc|tot/[5,6]|prep|1
geef/[2,3]|verb|hd/su|PROPNAME/[1,2]|name|1
geef/[2,3]|verb|hd/svp|toegang/[4,5]|fixed|1
scala/[8,9]|noun|hd/det|een/[6,7]|det|1
scala/[8,9]|noun|hd/mod|breed/[7,8]|adj|1
scala/[8,9]|noun|hd/mod|van/[9,10]|prep|1
top/top|top|top/hd|en/[11,12]|vg|1
tot/[5,6]|prep|hd/obj1|scala/[8,9]|noun|1
van/[9,10]|prep|hd/obj1|applicatie/[10,11]|noun|1
batterij/[14,15]|noun|hd/det|de/[13,14]|det|1
batterij/[14,15]|noun|hd/mod|alleen/[12,13]|adv|1
dat/[5,6]|comp|cmp/body|heb/[9,10]|verb|1
euro/[20,21]|noun|hd/det|10/[19,20]|num|1
heb/[9,10]|verb|hd/obj1|propname/[8,9]|noun|1
heb/[9,10]|verb|hd/su|ik/[6,7]|pron|1
heb/[21,22]|verb|hd/su|wat/[16,17]|pron|1
heb/[21,22]|verb|hd/vc|kost/[22,23]|verb|1
in/[0,1]|prep|hd/obj1|jaar/[3,4]|noun|1
jaar/[3,4]|noun|hd/det|2,5/[2,3]|num|1
jaar/[3,4]|noun|hd/det|de/[1,2]|det|1
jaar/[3,4]|noun|hd/mod|tijd/[4,5]|noun|1
kost/[22,23]|verb|hd/me|euro/[20,21]|noun|1
kost/[22,23]|verb|hd/mod|maar/[18,19]|adv|1
kost/[22,23]|verb|hd/obj2|mij/[17,18]|pron|1
kost/[22,23]|verb|hd/su|wat/[16,17]|pron|1
moet/[10,11]|verb|-- / --|./[23,24]|punct|1
moet/[10,11]|verb|hd/su|ik/[11,12]|pron|1
moet/[10,11]|verb|hd/vc|vervang/[15,16]|verb|1
propname/[8,9]|noun|hd/det|de/[7,8]|det|1
tijd/[4,5]|noun|hd/vc|dat/[5,6]|comp|1
top/top|top|top/hd|moet/[10,11]|verb|1
vervang/[15,16]|verb|hd/mod|in/[0,1]|prep|1
vervang/[15,16]|verb|hd/mod|wat/[16,17]|pron|1
vervang/[15,16]|verb|hd/obj1|batterij/[14,15]|noun|1
vervang/[15,16]|verb|hd/su|ik/[11,12]|pron|1
wat/[16,17]|pron|rhd/body|heb/[21,22]|verb|1
ben/[2,3]|verb|-- / --|./[13,14]|punct|1
