Verenigde Staten,/[8,10]|name|hd/det|de/[7,8]|det|1
ben/[1,2]|verb|-- / --|./[13,14]|punct|1
ben/[1,2]|verb|hd/mod|er/[2,3]|adv|1
ben/[1,2]|verb|hd/mod|keer/[11,12]|noun|1
ben/[1,2]|verb|hd/mod|opnieuw/[0,1]|adv|1
ben/[1,2]|verb|hd/predc|propname/[12,13]|noun|1
ben/[1,2]|verb|hd/su|fastfoodketen/[4,5]|noun|1
fastfoodketen/[4,5]|noun|hd/det|een/[3,4]|det|1
fastfoodketen/[4,5]|noun|hd/mod|overgewaaid/[5,6]|adj|1
keer/[11,12]|noun|hd/det|dit/[10,11]|det|1
overgewaaid/[5,6]|adj|hd/mod|uit/[6,7]|prep|1
top/top|top|top/hd|ben/[1,2]|verb|1
uit/[6,7]|prep|hd/obj1|Verenigde Staten,/[8,10]|name|1
ben/[2,3]|verb|-- / --|./[16,17]|punct|1
ben/[2,3]|verb|hd/mod|gespecialiseerd/[3,4]|adj|1
ben/[2,3]|verb|hd/predc|iets/[8,9]|noun|1
ben/[2,3]|verb|hd/su|restaurant/[1,2]|noun|1
ben/[15,16]|verb|hd/mod|al/[10,11]|adv|1
ben/[15,16]|verb|hd/mod|overal/[12,13]|adv|1
ben/[15,16]|verb|hd/predc|te koop/[13,15]|adj|1
ben/[15,16]|verb|hd/su|wat/[9,10]|pron|1
en/[6,7]|vg|crd/cnj|friet/[7,8]|noun|1
en/[6,7]|vg|crd/cnj|hamburger/[5,6]|noun|1
gespecialiseerd/[3,4]|adj|hd/pc|in/[4,5]|prep|1
iets/[8,9]|noun|hd/mod|wat/[9,10]|pron|1
in/[4,5]|prep|hd/obj1|en/[6,7]|vg|1
overal/[12,13]|adv|hd/mod|bijna/[11,12]|adv|1
restaurant/[1,2]|noun|hd/det|het/[0,1]|det|1
top/top|top|top/hd|ben/[2,3]|verb|1
wat/[9,10]|pron|rhd/body|ben/[15,16]|verb|1
naast/[0,1]|prep|hd/obj1|McDonals en PROPNAME/[1,4]|name|1
succes/[9,10]|noun|hd/det|een/[8,9]|det|1
top/top|top|top/hd|zal/[4,5]|verb|1
word/[10,11]|verb|hd/mod|naast/[0,1]|prep|1
word/[10,11]|verb|hd/mod|ook/[5,6]|adv|1
word/[10,11]|verb|hd/mod|waarschijnlijk/[7,8]|adj|1
word/[10,11]|verb|hd/predc|succes/[9,10]|noun|1
word/[10,11]|verb|hd/su|PROPNAME/[6,7]|name|1
zal/[4,5]|verb|-- / --|./[11,12]|punct|1
zal/[4,5]|verb|hd/su|PROPNAME/[6,7]|name|1
zal/[4,5]|verb|hd/vc|word/[10,11]|verb|1
bevat/[20,21]|verb|hd/obj1|vet/[18,19]|noun|1
bevat/[20,21]|verb|hd/su|het/[15,16]|det|1
dat/[14,15]|comp|cmp/body|zal/[19,20]|verb|1
ervoor/[12,13]|pp|hd/vc|dat/[14,15]|comp|1
friet/[6,7]|noun|hd/det|de/[5,6]|det|1
friet/[6,7]|noun|hd/mod|gebakken/[7,8]|adj|1
frituur/[10,11]|noun|hd/det|de/[9,10]|det|1
gebakken/[7,8]|adj|hd/mod|in/[8,9]|prep|1
hamburger/[1,2]|noun|hd/det|de/[0,1]|det|1
in/[8,9]|prep|hd/obj1|frituur/[10,11]|noun|1
meer/[17,18]|adj|hd/mod|nog/[16,17]|adv|1
top/top|top|top/hd|word/[2,3]|verb|1
vet/[18,19]|noun|hd/det|meer/[17,18]|adj|1
wat/[11,12]|pron|rhd/body|zorg/[13,14]|verb|1
word/[2,3]|verb|-- / --|./[21,22]|punct|1
word/[2,3]|verb|hd/mod|zoals/[4,5]|comp|1
word/[2,3]|verb|hd/predc|wat/[11,12]|pron|1
word/[2,3]|verb|hd/su|hamburger/[1,2]|noun|1
zal/[19,20]|verb|hd/su|het/[15,16]|det|1
zal/[19,20]|verb|hd/vc|bevat/[20,21]|verb|1
zoals/[4,5]|comp|cmp/body|friet/[6,7]|noun|1
zoals/[4,5]|comp|cmp/mod|net/[3,4]|adv|1
zorg/[13,14]|verb|hd/pc|ervoor/[12,13]|pp|1
zorg/[13,14]|verb|hd/su|wat/[11,12]|pron|1
buitenland/[6,7]|noun|hd/det|het/[5,6]|det|1
