Tweede Wereldoorlog/[14,16]|name|hd/det|de/[13,14]|det|1
ben/[5,6]|verb|-- / --|./[16,17]|punct|1
ben/[5,6]|verb|hd/predc|boek/[9,10]|noun|1
ben/[5,6]|verb|hd/su|boek/[1,2]|noun|1
boek/[1,2]|noun|hd/app|propname/[2,3]|noun|1
boek/[1,2]|noun|hd/det|het/[0,1]|det|1
boek/[1,2]|noun|hd/mod|van/[3,4]|prep|1
boek/[9,10]|noun|hd/det|een/[6,7]|det|1
boek/[9,10]|noun|hd/mod|dat/[10,11]|pron|1
boek/[9,10]|noun|hd/mod|geschreven/[8,9]|adj|1
boek/[9,10]|noun|hd/mod|goed/[7,8]|adj|1
dat/[10,11]|pron|rhd/body|handel/[11,12]|verb|1
handel/[11,12]|verb|hd/pc|over/[12,13]|prep|1
handel/[11,12]|verb|hd/su|dat/[10,11]|pron|1
over/[12,13]|prep|hd/obj1|Tweede Wereldoorlog/[14,16]|name|1
top/top|top|top/hd|ben/[5,6]|verb|1
van/[3,4]|prep|hd/obj1|PROPNAME/[4,5]|name|1
ben/[28,29]|verb|hd/mod|daar/[26,27]|adv|1
ben/[28,29]|verb|hd/predc|veilig/[27,28]|adj|1
ben/[28,29]|verb|hd/su|hij/[25,26]|pron|1
bij/[10,11]|prep|hd/obj1|thuis/[12,13]|noun|1
boek/[1,2]|noun|hd/det|het/[0,1]|det|1
broer_DIM/[16,17]|noun|hd/det|haar/[15,16]|det|1
dat/[6,7]|comp|cmp/body|en/[13,14]|vg|1
dat/[24,25]|comp|cmp/body|ben/[28,29]|verb|1
denk/[23,24]|verb|hd/su|ze/[22,23]|pron|1
denk/[23,24]|verb|hd/vc|dat/[24,25]|comp|1
en/[13,14]|vg|crd/cnj|sluit_op/[20,21]|verb|1
en/[13,14]|vg|crd/cnj|val_binnen/[9,10]|verb|1
in/[17,18]|prep|hd/obj1|kast/[19,20]|noun|1
kast/[19,20]|noun|hd/det|de/[18,19]|det|1
moment/[5,6]|noun|hd/det|het/[4,5]|det|1
moment/[5,6]|noun|hd/vc|dat/[6,7]|comp|1
omdat/[21,22]|comp|cmp/body|denk/[23,24]|verb|1
op/[3,4]|prep|hd/obj1|moment/[5,6]|noun|1
politieman/[8,9]|noun|hd/mod|Frans/[7,8]|adj|1
sluit_op/[20,21]|verb|hd/ld|in/[17,18]|prep|1
sluit_op/[20,21]|verb|hd/mod|omdat/[21,22]|comp|1
sluit_op/[20,21]|verb|hd/obj1|broer_DIM/[16,17]|noun|1
sluit_op/[20,21]|verb|hd/su|ze/[14,15]|pron|1
start/[2,3]|verb|-- / --|./[29,30]|punct|1
start/[2,3]|verb|hd/mod|op/[3,4]|prep|1
start/[2,3]|verb|hd/su|boek/[1,2]|noun|1
thuis/[12,13]|noun|hd/det|haar/[11,12]|det|1
top/top|top|top/hd|start/[2,3]|verb|1
val_binnen/[9,10]|verb|hd/ld|bij/[10,11]|prep|1
val_binnen/[9,10]|verb|hd/su|politieman/[8,9]|noun|1
breng/[16,17]|verb|hd/ld|naar/[13,14]|prep|1
breng/[16,17]|verb|hd/obj1|ze/[11,12]|pron|1
concentratie_kamp/[15,16]|noun|hd/det|een/[14,15]|det|1
kan/[1,2]|verb|-- / --|./[17,18]|punct|1
kan/[1,2]|verb|-- / --|want/[10,11]|vg|1
kan/[1,2]|verb|dp/dp|keer_terug/[9,10]|verb|1
kan/[1,2]|verb|dp/dp|word/[12,13]|verb|1
kan/[1,2]|verb|hd/mod|echter/[2,3]|adv|1
kan/[1,2]|verb|hd/mod|niet/[3,4]|adv|1
kan/[1,2]|verb|hd/mod|op/[4,5]|prep|1
kan/[1,2]|verb|hd/obj1|teug/[6,7]|noun|1
kan/[1,2]|verb|hd/su|Sarah/[0,1]|name|1
keer_terug/[9,10]|verb|hd/ld|naar/[7,8]|prep|1
naar/[7,8]|prep|hd/obj1|huis/[8,9]|noun|1
naar/[13,14]|prep|hd/obj1|concentratie_kamp/[15,16]|noun|1
op/[4,5]|prep|hd/obj1|tijd/[5,6]|noun|1
top/top|top|top/hd|kan/[1,2]|verb|1
word/[12,13]|verb|hd/su|ze/[11,12]|pron|1
word/[12,13]|verb|hd/vc|breng/[16,17]|verb|1
broer_DIM/[10,11]|noun|hd/det|haar/[9,10]|det|1
concentratie_kamp/[4,5]|noun|hd/det|dit/[3,4]|det|1
dat/[8,9]|comp|cmp/body|leef/[12,13]|verb|1
denk/[7,8]|verb|hd/su|ze/[6,7]|pron|1
denk/[7,8]|verb|hd/vc|dat/[8,9]|comp|1
en/[13,14]|vg|crd/cnj|denk/[7,8]|verb|1
en/[13,14]|vg|crd/cnj|moet/[19,20]|verb|1
kast/[18,19]|noun|hd/det|de/[17,18]|det|1
laat/[20,21]|verb|hd/ld|uit/[16,17]|prep|1
laat/[20,21]|verb|hd/obj1|hem/[15,16]|pron|1
laat/[20,21]|verb|hd/su|ze/[14,15]|pron|1
leef/[12,13]|verb|hd/mod|nog/[11,12]|adv|1
leef/[12,13]|verb|hd/su|broer_DIM/[10,11]|noun|1
moet/[19,20]|verb|hd/su|ze/[14,15]|pron|1
moet/[19,20]|verb|hd/vc|laat/[20,21]|verb|1
