PROPNAME van Woody Allen/[0,4]|name|hd/mod|uit/[4,5]|prep|1
door/[9,10]|prep|hd/obj1|straat/[11,12]|noun|1
en/[14,15]|vg|-- / --|./[25,26]|punct|1
en/[14,15]|vg|crd/cnj|laat/[15,16]|verb|1
en/[14,15]|vg|crd/cnj|leid/[6,7]|verb|1
laat/[15,16]|verb|hd/obj1|je/[16,17]|pron|1
laat/[15,16]|verb|hd/su|PROPNAME van Woody Allen/[0,4]|name|1
laat/[15,16]|verb|hd/vc|maak_kennis/[17,18]|verb|1
leid/[6,7]|verb|hd/mod|door/[9,10]|prep|1
leid/[6,7]|verb|hd/mod|mee/[8,9]|adv|1
leid/[6,7]|verb|hd/obj1|je/[7,8]|pron|1
leid/[6,7]|verb|hd/su|PROPNAME van Woody Allen/[0,4]|name|1
maak_kennis/[17,18]|verb|hd/pc|met/[18,19]|prep|1
maak_kennis/[17,18]|verb|hd/su|je/[16,17]|pron|1
met/[18,19]|prep|hd/obj1|toegang/[21,22]|noun|1
naar/[22,23]|prep|hd/obj1|verleden/[24,25]|noun|1
straat/[11,12]|noun|hd/det|de/[10,11]|det|1
straat/[11,12]|noun|hd/mod|van/[12,13]|prep|1
toegang/[21,22]|noun|hd/det|de/[19,20]|det|1
toegang/[21,22]|noun|hd/mod|geheim/[20,21]|adj|1
toegang/[21,22]|noun|hd/mod|naar/[22,23]|prep|1
top/top|top|top/hd|en/[14,15]|vg|1
uit/[4,5]|prep|hd/obj1|2011/[5,6]|noun|1
van/[12,13]|prep|hd/obj1|Parijs/[13,14]|name|1
verleden/[24,25]|noun|hd/det|het/[23,24]|det|1
als/[0,1]|comp|-- / --|./[18,19]|punct|1
als/[0,1]|comp|cmp/body|Gil/[1,2]|name|1
als/[0,1]|comp|dp/dp|raak_kwijt/[13,14]|verb|1
als/[0,1]|comp|dp/dp|scenario_schrijver/[4,5]|noun|1
door/[7,8]|prep|hd/obj1|straat/[9,10]|noun|1
raak_kwijt/[13,14]|verb|hd/mod|door/[7,8]|prep|1
raak_kwijt/[13,14]|verb|hd/obj1|weg/[16,17]|noun|1
raak_kwijt/[13,14]|verb|hd/su|hij/[14,15]|pron|1
raak_kwijt/[13,14]|verb|hd/svp|kwijt/[17,18]|part|1
scenario_schrijver/[4,5]|noun|hd/det|een/[2,3]|det|1
scenario_schrijver/[4,5]|noun|hd/mod|'s avonds/[5,7]|adv|1
scenario_schrijver/[4,5]|noun|hd/mod|Amerikaans/[3,4]|adj|1
